station_number,label,total_angle_deg,flat_strip_width_mm,pass_zone
1,"S1",13102.9686,6764.8274,"Light Bending"
2,"S2",12416.4434,6764.8274,"Light Bending"
3,"S3",11731.6988,6764.8274,"Light Bending"
4,"S4",11050.5257,6764.8274,"Light Bending"
5,"S5",10374.7121,6764.8274,"Light Bending"
6,"S6",9706.0386,6764.8274,"Light Bending"
7,"S7",9046.2745,6764.8274,"Light Bending"
8,"S8",8397.1742,6764.8274,"Light Bending"
9,"S9",7760.4732,6764.8274,"Light Bending"
10,"S10",7137.8846,6764.8274,"Major Forming"
11,"S11",6531.0954,6764.8274,"Major Forming"
12,"S12",5941.7636,6764.8274,"Major Forming"
13,"S13",5371.5148,6764.8274,"Major Forming"
14,"S14",4821.9398,6764.8274,"Major Forming"
15,"S15",4294.5916,6764.8274,"Major Forming"
16,"S16",3790.9837,6764.8274,"Major Forming"
17,"S17",3312.5886,6764.8274,"Major Forming"
18,"S18",2860.8363,6764.8274,"Major Forming"
19,"S19",2437.1145,6764.8274,"Major Forming"
20,"S20",2042.7694,6764.8274,"Major Forming"
21,"S21",1679.1075,6764.8274,"Major Forming"
22,"S22",1347.3997,6764.8274,"Finishing"
23,"S23",1048.8884,6764.8274,"Finishing"
24,"S24",784.7985,6764.8274,"Finishing"
25,"S25",556.3551,6764.8274,"Finishing"
26,"S26",364.8146,6764.8274,"Finishing"
27,"S27",211.5187,6764.8274,"Finishing"
28,"S28",98.0047,6764.8274,"Finishing"
29,"S29",26.2768,6764.8274,"Calibration"
30,"S30",13789.4840,6764.8274,"Calibration"